iter	TotalF1	MultiClass
134	0.8134534223	1.163835994
135	0.8134506278	1.161262255
136	0.8171266722	1.156243407
137	0.816302077	1.153134879
138	0.8154144222	1.149880627
139	0.8171839828	1.146124322
140	0.8202042153	1.13368292
141	0.820191347	1.131865567
142	0.8221859289	1.121991795
143	0.822941047	1.120293805
144	0.825423351	1.115207619
145	0.8262888648	1.109091232
146	0.8253858424	1.105120522
147	0.82334945	1.099154119
148	0.8260662626	1.091986369
149	0.8293877364	1.087816155
150	0.8351559327	1.078207364
151	0.8351919761	1.077162639
152	0.8351318045	1.072360246
153	0.8369050402	1.068098876
154	0.8352727865	1.062512237
155	0.8369353357	1.058467341
156	0.8386271369	1.050710773
157	0.8386675228	1.049658375
158	0.8419762181	1.047640859
159	0.8427928752	1.046606034
160	0.8469792317	1.041901589
161	0.8453223688	1.039213426
162	0.8428450138	1.035833535
163	0.8451925832	1.030942989
164	0.8485693414	1.027700605
165	0.8477083087	1.026749043
166	0.8468260449	1.025636453
167	0.8460433595	1.023948594
168	0.8460433595	1.02312826
169	0.8485277747	1.021696216
170	0.8477659754	1.019113268
171	0.8485763767	1.018237582
172	0.8544692145	1.011070265
173	0.852881292	1.009520939
174	0.8527949231	1.0074023
175	0.8536945353	1.005766624
176	0.8543988909	1.003655501
177	0.8543520896	0.9999432414
178	0.8561629911	0.9965147315
179	0.8586788097	0.9927570618
180	0.8587131628	0.9905848651
181	0.8603715128	0.9873842974
182	0.8603075514	0.9832601617
183	0.860449221	0.9809638395
184	0.8604285294	0.9790811736
185	0.8612799644	0.9774210322
186	0.860417052	0.9756515928
187	0.8603857697	0.9712566667
188	0.8620941022	0.9697823775
189	0.8621024012	0.9683929917
190	0.8663215489	0.9635644948
191	0.864591929	0.958876429
192	0.864591929	0.9573819342
193	0.8662898509	0.9549713046
194	0.8679443534	0.9529939483
195	0.8671241601	0.9510589543
196	0.8671241601	0.9487196034
197	0.8671241601	0.9479321872
198	0.8696574057	0.943741196
199	0.8704743786	0.9351006446
200	0.8704678158	0.9341401113
201	0.8704037673	0.9317963523
202	0.8695440499	0.9280177967
203	0.8703797163	0.9267441532
204	0.8722105212	0.9185619818
205	0.8705067977	0.9173857939
206	0.8713380359	0.9154128594
207	0.8730339529	0.9132143292
208	0.8747351793	0.9115180086
209	0.8730774305	0.9090840983
210	0.8747213742	0.9043556238
211	0.8763094402	0.9028456833
212	0.8763094402	0.9022186316
213	0.8763167016	0.8999859717
214	0.876296547	0.8962010184
215	0.8746671725	0.8949589558
216	0.876318152	0.8930318595
217	0.876318152	0.8914121348
218	0.8763174221	0.8891839331
219	0.8779657281	0.88481831
220	0.8796477778	0.8816864109
221	0.8796234446	0.879674235
222	0.8796234446	0.8788159808
223	0.8796234446	0.8775913379
224	0.8796234446	0.8768946886
225	0.8771799487	0.8741264209
226	0.8780165947	0.8728251136
227	0.8797230742	0.8699102028
228	0.8805225232	0.8681020787
229	0.8822335493	0.8646769241
230	0.8805553011	0.8631054675
231	0.8805420202	0.8621079746
232	0.8805643231	0.8557406192
233	0.8805553011	0.8538045006
234	0.8796860575	0.8523158454
235	0.879719491	0.8488181801
236	0.8805100197	0.8474044661
237	0.881303306	0.8424752983
238	0.8830179503	0.8415452134
239	0.8812979998	0.8395413993
240	0.8830113501	0.8375227114
241	0.8822125557	0.8357458673
242	0.8831409189	0.8330623518
243	0.8830526543	0.8313011009
244	0.8831214452	0.8303674347
245	0.8839471582	0.829566092
246	0.8856016745	0.8263450079
247	0.885570652	0.8239247041
248	0.8846004691	0.8175691845
249	0.8845907786	0.8128669264
250	0.8845907786	0.8121749497
251	0.8846383276	0.8093229349
252	0.8846383276	0.8087543981
253	0.8855275586	0.8072779444
254	0.8905518362	0.8009976725
255	0.8904375639	0.7995794245
256	0.8922446195	0.7985742591
257	0.8922838581	0.7964633011
258	0.892293779	0.7946719427
259	0.892293779	0.7940787832
260	0.893910804	0.7894602922
261	0.8947823006	0.7877721311
262	0.8931385074	0.7862241905
263	0.8956730945	0.7849086321
264	0.8973537545	0.7816303903
265	0.8964893172	0.7779678272
266	0.8964203392	0.7748628133
267	0.8964203392	0.7743339626
268	0.8964203392	0.7737388413
269	0.8972342416	0.7726812828
270	0.8997145806	0.769501595
271	0.8996132738	0.768099844
272	0.8988667049	0.7668087159
273	0.8988987531	0.7658356567
274	0.9005602521	0.7628687815
275	0.9014458569	0.7615422867
276	0.9006434455	0.7601686727
277	0.9006645139	0.7594242367
278	0.9006645139	0.7585553771
279	0.9014970935	0.7573755153
280	0.9023366371	0.7546730699
281	0.902281999	0.7524495278
282	0.9031044117	0.7516305292
283	0.9040001425	0.7502754209
284	0.9064608519	0.7476624745
285	0.9072604833	0.7459813856
286	0.9080685851	0.7445169644
287	0.9115470546	0.7410834852
288	0.9107173817	0.7383406321
289	0.9123933305	0.7375177776
290	0.9123519759	0.7366577849
291	0.9115177328	0.7360328093
292	0.9089668249	0.7332145089
293	0.908151231	0.732514724
294	0.909024678	0.7316819206
295	0.9123852766	0.7289319052
296	0.9115442974	0.7282337283
297	0.9123852766	0.7276946983
298	0.9148710627	0.7268043215
299	0.9156908992	0.7256385448
