iter	Accuracy	MultiClass
117	0.7993333333	1.088188613
118	0.8006666667	1.083525839
119	0.8006666667	1.081036702
120	0.8026666667	1.072687608
121	0.802	1.06991183
122	0.8026666667	1.065059009
123	0.8046666667	1.063867703
124	0.8073333333	1.052450627
125	0.808	1.050168256
126	0.81	1.044816391
127	0.812	1.034022097
128	0.8146666667	1.029983467
129	0.816	1.025055217
130	0.816	1.022095705
131	0.8166666667	1.019462551
132	0.8173333333	1.012048151
133	0.818	1.010636518
134	0.8146666667	1.007585822
135	0.8173333333	1.004757544
136	0.818	0.9983948598
137	0.82	0.9962786455
138	0.8206666667	0.9907067102
139	0.822	0.9892154595
140	0.8233333333	0.9858462848
141	0.824	0.9817953924
142	0.826	0.9748734013
143	0.828	0.9681353562
144	0.8306666667	0.96672701
145	0.832	0.9638733831
146	0.8326666667	0.9591344802
147	0.8333333333	0.9525978901
148	0.8333333333	0.950576061
149	0.836	0.9455865101
150	0.8373333333	0.9428820171
151	0.84	0.9390393463
152	0.8406666667	0.938024329
153	0.8406666667	0.9362144755
154	0.8433333333	0.9331790418
155	0.8446666667	0.9296674344
156	0.8446666667	0.9282000425
157	0.8433333333	0.9258389571
158	0.8433333333	0.9210525931
159	0.8453333333	0.9139529874
160	0.848	0.9092561324
161	0.8486666667	0.9069353384
162	0.8486666667	0.9035679461
163	0.854	0.8976157639
164	0.854	0.8965717947
165	0.8533333333	0.8951353479
166	0.8533333333	0.8941457549
167	0.8546666667	0.8932727428
168	0.8546666667	0.892196126
169	0.8553333333	0.8884394878
170	0.8586666667	0.8825403779
171	0.86	0.873475914
172	0.8613333333	0.8711174568
173	0.8613333333	0.86957022
174	0.8606666667	0.864487915
175	0.866	0.8574419666
176	0.866	0.8565072042
177	0.8673333333	0.8498130977
178	0.8693333333	0.8473843783
179	0.8713333333	0.842393941
180	0.874	0.8377670904
181	0.8733333333	0.8361255897
182	0.874	0.8309505446
183	0.8786666667	0.8210879865
184	0.878	0.8202361681
185	0.8793333333	0.8193828545
186	0.8786666667	0.8179391337
187	0.8793333333	0.814380661
188	0.8793333333	0.8134213299
189	0.8793333333	0.8104658547
190	0.878	0.8078395703
191	0.8793333333	0.8024417537
192	0.8806666667	0.8006606349
193	0.8813333333	0.7970322029
194	0.882	0.7962623791
195	0.884	0.7928880449
